대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 장안구 이목동 167-2번지,41111,13100,0,0167,0002,10841100227312,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,3139,606.25,19.31,606.25,606.25,19.31,03000,제1종근린생활시설,제1종근린생활시설(소매점),0,0,2,0,0,4,0,0,0,0,0,0,4,46,20100413,20100719,20110405,2010,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 167-3번지,41111,13100,0,0167,0003,10841379,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 475-13 (이목동),,,,,0,411113176011,13103,0,475,13,2310,460.9,19.95,460.9,460.9,19.95,04000,제2종근린생활시설,제2종근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,3,36,20030919,20031002,20031127,2003,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 198-15번지,41111,13100,0,0198,0015,10841100208543,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 452 (이목동),,,,,0,411113176011,13103,0,452,,697,103.5,14.85,103.5,103.5,14.85,19000,위험물저장및처리시설,위험물 저장 및 처리시설,0,0,2,0,0,1,0,0,0,0,0,0,1,11.5,20020116,20020122,20020325,2002,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 240번지,41111,13100,0,0240,0000,10841405,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 426-1 (이목동),동원동우ㆍ동우여자고등학교,,,,10,411113176011,13103,0,426,1,26205,5430.99,20.73,23207.13,21510.33,82.08,10000,교육연구시설,교육연구및복지시설,0,0,5,1,26,95,0,0,0,0,0,0,95,1092.5,198508,,19880125,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 241번지,41111,13100,0,0241,0000,1084120,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 장안로 426 (이목동),이목중학교,,,,1,411113176011,13103,0,426,,11990,2314.33,19.3,9252.45,9166.92,76.45,10000,교육연구시설,교육연구시설(중학교),0,0,7,0,0,43,0,0,0,0,0,0,43,494.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 242-7번지,41111,13100,0,0242,0007,10841100482192,1,일반,1,총괄표제부,1,신대장,,이목동 242-7 단독주택 (지숙영),,,,0,,,0,,,517,103.32,19.98,346.14,198.83,38.46,01000,단독주택,,0,1,2,0,0,2,0,0,0,0,2,147.31,0,0,20210811,20210908,20220412,2021,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 243-5번지,41111,13100,0,0243,0005,10841100423132,1,일반,1,총괄표제부,1,신대장,,(주) 현대석유 수원 서광주유소,,,,0,,,0,,,2175,583,26.81,924.72,893.22,41.07,19000,위험물저장및처리시설,"주유소,자동차관련시설 외",0,0,2,0,0,6,0,0,0,0,0,0,6,69,20180418,20180518,20190130,2018,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 243-20번지,41111,13100,0,0243,0020,10841100305588,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,200,39.09,19.55,39.09,39.09,19.55,04000,제2종근린생활시설,근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20130821,20130826,20140702,2013,3750028,건축과,1201,1201,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 이목동 256-3번지,41111,13100,0,0256,0003,1000000000000007177113,1,일반,1,총괄표제부,1,신대장,,이목동 256-3  자동차관련시설,,,,1,,,,,,5945,786,13.22,786,786,13.22,20000,자동차관련시설,정비공장,0,0,3,0,0,4,0,0,0,0,4,50,0,0,20080616,20080617,20260325,2008,3750028,건축과,1101,1101,0,,0,0,,0,,0,20260330
경기도 수원시 장안구 이목동 259번지,41111,13100,0,0259,0000,10841100224600,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 서부로 2359 (이목동),이목동 259 위험물저장 처리시설,,,,0,411113012005,13101,0,2359,,1429,284.11,19.88,495.99,360.39,25.22,19000,위험물저장및처리시설,위험물 저장 처리시설,0,0,2,0,0,2,0,0,0,0,0,0,3,34.5,19950626,19960426,19970619,,,,,,0,,0,0,,0,,0,20220909
