apt_id,apt_name,lon,lat
포레스트_127.0233,포레스트,127.0233,37.276
광교호반베르디움_127.057,광교호반베르디움,127.057,37.2733
호매실더센트라고_126.9432,호매실더센트라고,126.9432,37.2762
광교에듀타운50단지_127.0524,광교에듀타운50단지,127.0524,37.2838
코스모골드_127.0313,코스모골드,127.0313,37.2771
Y_CITY(와이시티)_126.9394,Y CITY(와이시티),126.9394,37.2691
호매실스위첸_126.9619,호매실스위첸,126.9619,37.2609
화서한신휴플러스_127.0022,화서한신휴플러스,127.0022,37.287
써밋플레이스_광교_127.0505,써밋플레이스 광교,127.0505,37.2916
씨즈더원_127.0258,씨즈더원,127.0258,37.2622
호매실마을13단지_126.9582,호매실마을13단지,126.9582,37.2655
수원역해모로_127.0104,수원역해모로,127.0104,37.2653
LH수원센트럴타운2단지_127.0061,LH수원센트럴타운2단지,127.0061,37.2634
수원역센트럴어반시티_127.0047,수원역센트럴어반시티,127.0047,37.2614
광교역참누리포레스트_127.0384,광교역참누리포레스트,127.0384,37.3029
광교푸르지오월드마크_127.0481,광교푸르지오월드마크,127.0481,37.2926
"수원아이파크시티(5단지,6단지)_127.0257","수원아이파크시티(5단지,6단지)",127.0257,37.2392
호매실능실마을22단지_126.958,호매실능실마을22단지,126.958,37.2585
영통_SK_VIEW_127.0615,영통 SK VIEW,127.0615,37.2418
아이파크시티7단지_127.0194,아이파크시티7단지,127.0194,37.2447
e편한세상_영통2차_1단지_127.064,e편한세상 영통2차 1단지,127.064,37.2396
e편한세상_영통2차_2단지_127.066,e편한세상 영통2차 2단지,127.066,37.2408
오목천서희스타힐스_126.9619,오목천서희스타힐스,126.9619,37.2486
호매실엔루체_126.9607,호매실엔루체,126.9607,37.2579
광교파크자이더테라스_127.0368,광교파크자이더테라스,127.0368,37.3103
e편한세상_TERRACE_광교_West_hill_127.0468,e편한세상 TERRACE 광교 West hill,127.0468,37.3082
e편한세상_TERRACE_광교_East_hill_127.0497,e편한세상 TERRACE 광교 East hill,127.0497,37.3072
호반써밋_수원_126.9532,호반써밋 수원,126.9532,37.2708
호반베르디움_더센트럴_126.9518,호반베르디움 더센트럴,126.9518,37.2697
수원아너스빌위즈_127.0066,수원아너스빌위즈,127.0066,37.2971
광교호반베르디움트라엘_127.0492,광교호반베르디움트라엘,127.0492,37.3033
아이파크시티8단지_127.0301,아이파크시티8단지,127.0301,37.2467
아이파크시티9단지_127.0271,아이파크시티9단지,127.0271,37.2474
영통라온프라이빗_127.0642,영통라온프라이빗,127.0642,37.2447
힐스테이트영통_127.0471,힐스테이트영통,127.0471,37.2416
"수원모아미래도센트럴타운(1단지,2단지)_126.9371","수원모아미래도센트럴타운(1단지,2단지)",126.9371,37.2763
극동스타클래스_126.9458,극동스타클래스,126.9458,37.2706
성균관대역_동문_디_이스트_126.9655,성균관대역 동문 디 이스트,126.9655,37.2972
호매실벨섬시티14단지_126.9581,호매실벨섬시티14단지,126.9581,37.2632
수원권선_꿈에그린_126.9739,수원권선 꿈에그린,126.9739,37.2365
엘에이치호매실스타힐스_126.9614,엘에이치호매실스타힐스,126.9614,37.255
힐스테이트광교_127.0649,힐스테이트광교,127.0649,37.2867
한양수자인파크원_126.9504,한양수자인파크원,126.9504,37.2658
수원광교_행복주택_127.0369,수원광교 행복주택,127.0369,37.2949
광교더샵_127.061,광교더샵,127.061,37.2707
광교아이파크_127.0613,광교아이파크,127.0613,37.2731
힐스테이트_호매실_126.9579,힐스테이트 호매실,126.9579,37.2595
영통아이파크캐슬2단지_127.0415,영통아이파크캐슬2단지,127.0415,37.2418
수원광교_공공실버주택_127.0499,수원광교 공공실버주택,127.0499,37.2797
영통아이파크캐슬1단지_127.0437,영통아이파크캐슬1단지,127.0437,37.2418
인계한양수자인_127.0248,인계한양수자인,127.0248,37.2758
인계리치안_127.0305,인계리치안,127.0305,37.267
광교중흥에스클래스_127.0568,광교중흥에스클래스,127.0568,37.2839
호매실금호어울림에듀포레_126.9521,호매실금호어울림에듀포레,126.9521,37.2587
루체스타_127.0029,루체스타,127.0029,37.2705
광교원천_경기행복주택_127.0502,광교원천 경기행복주택,127.0502,37.2806
수원고등LH2단지(행복주택)_126.9986,수원고등LH2단지(행복주택),126.9986,37.2726
수원역_푸르지오_자이_126.9994,수원역 푸르지오 자이,126.9994,37.2733
수원역푸르지오더스마트_126.9979,수원역푸르지오더스마트,126.9979,37.2734
더샵광교산퍼스트파크_127.0178,더샵광교산퍼스트파크,127.0178,37.299
한일베라체에코플러스_127.0384,한일베라체에코플러스,127.0384,37.277
매교역푸르지오SK뷰_127.0184,매교역푸르지오SK뷰,127.0184,37.2694
힐스테이트푸르지오수원_127.0134,힐스테이트푸르지오수원,127.0134,37.2676
쌍용더플래티넘오목천역_126.964,쌍용더플래티넘오목천역,126.964,37.2424
매산_127.0024,매산,127.0024,37.2697
수정연립_127.0002,수정연립,127.0002,37.2918
태광연립_127.0404,태광연립,127.0404,37.2732
동양연립_127.0113,동양연립,127.0113,37.2901
현대연립_127.01,현대연립,127.01,37.2525
금성연립_127.0242,금성연립,127.0242,37.2722
서호연립_126.9907,서호연립,126.9907,37.2665
해창_127.0023,해창,127.0023,37.2715
새마을연립_126.9934,새마을연립,126.9934,37.2643
공우_127.0096,공우,127.0096,37.2554
여울_127.0224,여울,127.0224,37.279
삼덕연립_127.0134,삼덕연립,127.0134,37.2519
삼전연립_126.9725,삼전연립,126.9725,37.2979
삼원연립_127.0144,삼원연립,127.0144,37.2538
세류연립_127.0095,세류연립,127.0095,37.2587
공우아파트_127.0118,공우아파트,127.0118,37.2898
태양연립_127.0135,태양연립,127.0135,37.2509
현대연립_127.0129,현대연립,127.0129,37.2961
심우연립2차_127.0111,심우연립2차,127.0111,37.262
심우연립1차_127.0106,심우연립1차,127.0106,37.2617
정자연립_126.9988,정자연립,126.9988,37.2912
양지_127.0099,양지,127.0099,37.2555
송학아파트_127.0059,송학아파트,127.0059,37.2954
경일_127.0124,경일,127.0124,37.2585
삼화연립_127.0127,삼화연립,127.0127,37.2622
장미3_127.0125,장미3,127.0125,37.257
장미1_127.0119,장미1,127.0119,37.2571
아주_127.0461,아주,127.0461,37.275
궁전_126.9823,궁전,126.9823,37.2703
천록_126.9737,천록,126.9737,37.2983
청한파크맨션_126.9827,청한파크맨션,126.9827,37.2723
수정아파트_127.0055,수정아파트,127.0055,37.2898
경원아파트_127.0009,경원아파트,127.0009,37.2933
삼청_126.9999,삼청,126.9999,37.309
힐타운빌라_126.9698,힐타운빌라,126.9698,37.2996
보은아파트_127.0001,보은아파트,127.0001,37.2942
칠성_127.0036,칠성,127.0036,37.2814
삼화_127.0148,삼화,127.0148,37.2853
신흥연립_127.0036,신흥연립,127.0036,37.2876
수정_127.0017,수정,127.0017,37.2917
율전아파트_126.9735,율전아파트,126.9735,37.2972
장안연립_126.9944,장안연립,126.9944,37.2805
화서맨션_126.9964,화서맨션,126.9964,37.2818
목단연립_126.9992,목단연립,126.9992,37.2928
경일_126.9976,경일,126.9976,37.2815
경원_127.0091,경원,127.0091,37.289
심우연립_127.0285,심우연립,127.0285,37.2983
웅비_126.9581,웅비,126.9581,37.2973
청수연립_126.9983,청수연립,126.9983,37.3101
화성_126.9976,화성,126.9976,37.2791
효성_127.0069,효성,127.0069,37.2955
성신_127.0111,성신,127.0111,37.295
장안_127.0007,장안,127.0007,37.3088
궁전_126.9952,궁전,126.9952,37.3121
삼경노송_126.9778,삼경노송,126.9778,37.2746
보은아주_127.0299,보은아주,127.0299,37.2897
장미5차_126.9681,장미5차,126.9681,37.3032
무궁화_127.0276,무궁화,127.0276,37.2752
삼원_127.0221,삼원,127.0221,37.2943
연안_126.9844,연안,126.9844,37.2531
장안아파트_126.971,장안아파트,126.971,37.3051
삼원빌라_126.9767,삼원빌라,126.9767,37.2743
황금_126.9971,황금,126.9971,37.2967
동산연립_127.0087,동산연립,127.0087,37.2947
동일빌라_126.9979,동일빌라,126.9979,37.3106
한일연립_127.0147,한일연립,127.0147,37.2994
