대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 권선구 서둔동 460번지,41113,13100,0,0460,0000,1084180887,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 서호로 34 (서둔동),국립농업유전자원센터,,,,0,411133175027,13101,0,34,,34246.7,5979.61,17.46,12413.31,10626.55,31.03,10000,교육연구시설,교육연구시설,0,0,8,0,0,60,0,0,0,0,0,0,60,991.6,20040910,20041021,20060928,,,,,,0,,0,0,,0,,0,20251029
경기도 수원시 권선구 서둔동 465번지,41113,13100,0,0465,0000,1000000000000004916131,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 수인로151번길 12 (서둔동),힐스테이트 수원파크포레,,,,0,411134864242,13101,0,12,0,30691.2,7448.2125,24.27,87201.3158,61215.9492,199.46,02000,공동주택,"공동주택(아파트),근린생활시설",482,0,11,11,26422.024,696,0,0,0,0,661,24436.2214,0,0,20220502,20220809,20241230,2022,3760030,건축과,2101,2101,5,1,144.9,0,,0,,0,20250103
경기도 수원시 권선구 서둔동 산1번지,41113,13100,1,0001,0000,1084181535,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,2734.03,0,5177.77,5177.77,0,10000,교육연구시설,교육연구시설,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 산8번지,41113,13100,1,0008,0000,1084181536,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,174.67,0,174.67,174.67,0,01000,단독주택,단독주택,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 27-2번지,41113,13200,0,0027,0002,1084181553,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 134-4번지,41113,13200,0,0134,0004,1084181555,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,186.21,0,209.58,186.21,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 139번지,41113,13200,0,0139,0000,1084181556,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,40.85,0,40.85,40.85,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 139-12번지,41113,13200,0,0139,0012,1084181573,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 49-8 (구운동),,,,,0,411134325143,13201,0,49,8,0,193.56,0,799.8,580.68,0,02000,공동주택,공동주택,16,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 139-41번지,41113,13200,0,0139,0041,10841100221383,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 금호로 205 (구운동),1,,,,0,411133175012,13201,0,205,,838,238.86,28.5,238.86,238.86,28.5,03000,제1종근린생활시설,제1종근린생활시설외1,0,0,2,0,0,2,0,0,0,0,0,0,2,23,20090511,20090520,20100722,2009,3760030,건축과,1202,1202,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 139-85번지,41113,13200,0,0139,0085,1084181543,1,일반,1,총괄표제부,0,구대장,경기도 수원시 권선구 금호로 237 (구운동),,,,,0,411133175012,13201,0,237,,498,223.68,44.92,223.68,223.68,44.92,04000,제2종근린생활시설,제2종근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,1,11.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 217-6번지,41113,13200,0,0217,0006,10841100216977,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 수인로 317 (구운동),,,,,0,411133000064,13202,0,317,,761,142.35,18.71,353.15,353.15,46.41,04000,제2종근린생활시설,제2종근린생활시설외2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 225-7번지,41113,13200,0,0225,0007,1084180897,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 수인로 331-8 (구운동),,,,,0,411133000064,13202,0,331,8,1947,526.24,27.03,696.56,696.56,35.78,18000,창고시설,제2종근린생활시설외1,0,0,4,0,0,3,0,0,0,0,0,0,3,34.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 235-1번지,41113,13200,0,0235,0001,10841100230615,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 수인로331번길 28-11 (구운동),,,,,0,411134325376,13201,0,28,11,2218,360.59,16.26,359.71,359.71,16.22,01000,단독주택,"단독주택,제1종근린생활시설",0,1,2,0,0,3,0,0,0,0,0,0,3,35.5,20070522,20070702,20110603,2007,3760030,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 285번지,41113,13200,0,0285,0000,1084181562,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,26.83,0,26.83,26.83,0,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 288번지,41113,13200,0,0288,0000,1084181563,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 299번지,41113,13200,0,0299,0000,1084181635,2,집합,1,총괄표제부,1,신대장,경기도 수원시 권선구 서부로1880번길 15 (구운동),,,,,0,411134325266,13201,0,15,,0,496.04,0,2373.22,940.69,0,02000,공동주택,공동주택,19,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 구운동 303번지,41113,13200,0,0303,0000,1084181546,2,집합,1,총괄표제부,0,구대장,경기도 수원시 권선구 금호로185번길 28 (구운동),동명빌라,,,,0,411134325142,13201,0,28,,491,187.2,38.12,748.8,561.6,114.37,02000,공동주택,공동주택,16,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
